Function,Configuration,Run_ID,Best_Fitness,Execution_Time,Best_Solution_X1,Best_Solution_X2,Actual_Evaluations
drop_wave,Binary_1Point,0,-0.9362397860177077,0.48038506507873535,0.48649179827573086,-0.18539345387960626,50000
drop_wave,Binary_1Point,1,-0.9356831786019214,0.4985060691833496,0.5080546272983906,0.12945510032806862,50000
drop_wave,Binary_1Point,2,-0.9362391675242597,0.5233228206634521,-0.46461646448462623,-0.233050431067368,50000
drop_wave,Binary_1Point,3,-0.936212812321997,0.5096549987792969,-0.5210235751888304,0.013359578850995923,50000
drop_wave,Binary_1Point,4,-0.9353272326726964,0.5608377456665039,0.36820874341954646,0.3600836194399939,50000
drop_wave,Binary_1Point,5,-0.9362320896297992,0.4905378818511963,-0.5132109559777218,-0.08117311360341795,50000
drop_wave,Binary_1Point,6,-0.9360757672245321,0.48117899894714355,-0.037109941252765566,-0.5166485084306096,50000
drop_wave,Binary_1Point,7,-0.9794576935329424,0.48977184295654297,0.011640802624551583,-0.020859693293659554,50000
drop_wave,Binary_1Point,8,-0.9362452544314489,0.46427106857299805,0.47336659800106773,0.21586266880292992,50000
drop_wave,Binary_1Point,9,-0.9328530336026619,0.4657022953033447,0.3916466010528721,0.3574273289082166,50000
drop_wave,Binary_1Point,10,-0.9346122659766002,0.46448302268981934,-0.0430475318532082,0.525398641947052,50000
drop_wave,Binary_1Point,11,-0.9344908274846817,0.5017251968383789,0.2713322652018011,0.43539726863508044,50000
drop_wave,Binary_1Point,12,-0.9362314386425266,0.46436309814453125,0.03304737926298884,0.5185235370412764,50000
drop_wave,Binary_1Point,13,-0.9362442036645132,0.46467018127441406,-0.43492851148241396,0.2850824750133514,50000
drop_wave,Binary_1Point,14,-0.9328326563903163,0.46852993965148926,-0.027109788662546208,-0.50946089875639,50000
drop_wave,Binary_1Point,15,-0.936159043930408,0.4671170711517334,0.41367818722819827,0.3180517280842299,50000
drop_wave,Binary_1Point,16,-0.9362429050737254,0.4756050109863281,0.4969607080186167,-0.15289295796139513,50000
drop_wave,Binary_1Point,17,-0.9227441262543593,0.4661369323730469,0.5333675135423821,0.08586068513008271,50000
drop_wave,Binary_1Point,18,-0.9303446665193357,0.48024892807006836,0.1817996490424969,0.5014920271610599,50000
drop_wave,Binary_1Point,19,-0.936238117339223,0.49611330032348633,0.5128984512092778,-0.08414190890363926,50000
drop_wave,Binary_1Point,20,-0.9362452488993499,0.4652900695800781,-0.15211169604028374,0.49742946517128317,50000
drop_wave,Binary_1Point,21,-0.9354361106632783,0.4707450866699219,0.027109788662546208,-0.5146172274357212,50000
drop_wave,Binary_1Point,22,-0.9357773267183549,0.4751286506652832,-0.3396145571068896,-0.38914656290531724,50000
drop_wave,Binary_1Point,23,-0.9349740737710894,0.46680307388305664,-0.30758281834134404,0.4271158922713054,50000
drop_wave,Binary_1Point,24,-0.9361518012063224,0.4630262851715088,0.517429770351721,0.03414114595254425,50000
drop_wave,Binary_1Point,25,-0.9362325338599641,0.4763798713684082,0.4625851834897379,0.23664423590447914,50000
drop_wave,Binary_1Point,26,-0.9347940446719201,0.4738607406616211,0.30414526588845625,0.43008468757152585,50000
drop_wave,Binary_1Point,27,-0.9362409869574889,0.5026938915252686,-0.48883558403906324,0.17898710612649804,50000
drop_wave,Binary_1Point,28,-0.9354744871671973,0.4723169803619385,-0.39899046311131414,0.3263331044480049,50000
drop_wave,Binary_1Point,29,-0.9320915055473435,0.4685811996459961,0.5013357747768374,-0.08882948043030492,50000
drop_wave,Binary_2Point,0,-0.923455106383345,0.49974560737609863,0.37508384832532204,0.3880527962157627,50000
drop_wave,Binary_2Point,1,-0.9362447485519007,0.4895150661468506,0.27414480811779995,-0.442272373540856,50000
drop_wave,Binary_2Point,2,-0.9359354083423497,0.4754371643066406,0.3032077515831233,0.41899076829175197,50000
drop_wave,Binary_2Point,3,-0.9362227482031121,0.4781770706176758,-0.00992202639810813,0.5193047989623869,50000
drop_wave,Binary_2Point,4,-0.9361838216029769,0.49069809913635254,-0.4924293888761726,0.16351812008850253,50000
drop_wave,Binary_2Point,5,-0.9357228242254368,0.4734508991241455,0.47446036469062314,0.2227377737087055,50000
drop_wave,Binary_2Point,6,-0.9356876920710029,0.506568193435669,0.052110170138093714,-0.5135234607461658,50000
drop_wave,Binary_2Point,7,-0.9362113390112783,0.4822568893432617,-0.2918013275349054,-0.4294596780346378,50000
drop_wave,Binary_2Point,8,-0.8505259511590842,0.5030567646026611,0.16273685816739203,-0.5477427328908213,50000
drop_wave,Binary_2Point,9,-0.9327461840458842,0.5269620418548584,-0.5144609750514988,0.12898634317540214,50000
drop_wave,Binary_2Point,10,-0.9358735435534632,0.5098721981048584,-0.1950811017013807,-0.4786791790646223,50000
drop_wave,Binary_2Point,11,-0.9355013979849549,0.47759318351745605,-0.41899076829175286,0.31617669947356397,50000
drop_wave,Binary_2Point,12,-0.9362451949149465,0.4855518341064453,0.42508461127641706,-0.2997701991302355,50000
drop_wave,Binary_2Point,13,-0.9348142664119037,0.49911999702453613,-0.5122734416723889,0.038516212710764997,50000
drop_wave,Binary_2Point,14,-0.9361592967876897,0.5331301689147949,-0.24383184557869875,0.46133516441596,50000
drop_wave,Binary_2Point,15,-0.935887900026908,0.48154520988464355,-0.4328972304875256,0.29430136568246024,50000
drop_wave,Binary_2Point,16,-0.9342487156954168,0.4911928176879883,0.4057093156328673,-0.31320790417334265,50000
drop_wave,Binary_2Point,17,-0.9351430170279716,0.49451303482055664,0.1939873350118262,-0.48883558403906324,50000
