Number of bases of the vector space Z^n over Z_2 is 168.
Basis 91: ([1, 0, 0], [1, 1, 0], [1, 0, 1])
Basis 92: ([1, 0, 0], [1, 1, 0], [1, 1, 1])
Basis 93: ([1, 0, 0], [1, 1, 1], [0, 0, 1])
Basis 94: ([1, 0, 0], [1, 1, 1], [0, 1, 0])
Basis 95: ([1, 0, 0], [1, 1, 1], [1, 0, 1])
Basis 96: ([1, 0, 0], [1, 1, 1], [1, 1, 0])
Basis 97: ([1, 0, 1], [0, 0, 1], [0, 1, 0])
Basis 98: ([1, 0, 1], [0, 0, 1], [0, 1, 1])
Basis 99: ([1, 0, 1], [0, 0, 1], [1, 1, 0])
Basis 100: ([1, 0, 1], [0, 0, 1], [1, 1, 1])
Basis 101: ([1, 0, 1], [0, 1, 0], [0, 0, 1])
Basis 102: ([1, 0, 1], [0, 1, 0], [0, 1, 1])
Basis 103: ([1, 0, 1], [0, 1, 0], [1, 0, 0])
Basis 104: ([1, 0, 1], [0, 1, 0], [1, 1, 0])
Basis 105: ([1, 0, 1], [0, 1, 1], [0, 0, 1])
Basis 106: ([1, 0, 1], [0, 1, 1], [0, 1, 0])
Basis 107: ([1, 0, 1], [0, 1, 1], [1, 0, 0])
Basis 108: ([1, 0, 1], [0, 1, 1], [1, 1, 1])
Basis 109: ([1, 0, 1], [1, 0, 0], [0, 1, 0])
Basis 110: ([1, 0, 1], [1, 0, 0], [0, 1, 1])
Basis 111: ([1, 0, 1], [1, 0, 0], [1, 1, 0])
Basis 112: ([1, 0, 1], [1, 0, 0], [1, 1, 1])
Basis 113: ([1, 0, 1], [1, 1, 0], [0, 0, 1])
Basis 114: ([1, 0, 1], [1, 1, 0], [0, 1, 0])
Basis 115: ([1, 0, 1], [1, 1, 0], [1, 0, 0])
Basis 116: ([1, 0, 1], [1, 1, 0], [1, 1, 1])
Basis 117: ([1, 0, 1], [1, 1, 1], [0, 0, 1])
Basis 118: ([1, 0, 1], [1, 1, 1], [0, 1, 1])
Basis 119: ([1, 0, 1], [1, 1, 1], [1, 0, 0])
Basis 120: ([1, 0, 1], [1, 1, 1], [1, 1, 0])
Basis 121: ([1, 1, 0], [0, 0, 1], [0, 1, 0])
Basis 122: ([1, 1, 0], [0, 0, 1], [0, 1, 1])
Basis 123: ([1, 1, 0], [0, 0, 1], [1, 0, 0])
Basis 124: ([1, 1, 0], [0, 0, 1], [1, 0, 1])
Basis 125: ([1, 1, 0], [0, 1, 0], [0, 0, 1])
Basis 126: ([1, 1, 0], [0, 1, 0], [0, 1, 1])
Basis 127: ([1, 1, 0], [0, 1, 0], [1, 0, 1])
Basis 128: ([1, 1, 0], [0, 1, 0], [1, 1, 1])
Basis 129: ([1, 1, 0], [0, 1, 1], [0, 0, 1])
Basis 130: ([1, 1, 0], [0, 1, 1], [0, 1, 0])
Basis 131: ([1, 1, 0], [0, 1, 1], [1, 0, 0])
Basis 132: ([1, 1, 0], [0, 1, 1], [1, 1, 1])
Basis 133: ([1, 1, 0], [1, 0, 0], [0, 0, 1])
Basis 134: ([1, 1, 0], [1, 0, 0], [0, 1, 1])
Basis 135: ([1, 1, 0], [1, 0, 0], [1, 0, 1])
Basis 136: ([1, 1, 0], [1, 0, 0], [1, 1, 1])
Basis 137: ([1, 1, 0], [1, 0, 1], [0, 0, 1])
Basis 138: ([1, 1, 0], [1, 0, 1], [0, 1, 0])
Basis 139: ([1, 1, 0], [1, 0, 1], [1, 0, 0])
Basis 140: ([1, 1, 0], [1, 0, 1], [1, 1, 1])
Basis 141: ([1, 1, 0], [1, 1, 1], [0, 1, 0])
Basis 142: ([1, 1, 0], [1, 1, 1], [0, 1, 1])
Basis 143: ([1, 1, 0], [1, 1, 1], [1, 0, 0])
Basis 144: ([1, 1, 0], [1, 1, 1], [1, 0, 1])
Basis 145: ([1, 1, 1], [0, 0, 1], [0, 1, 0])
Basis 146: ([1, 1, 1], [0, 0, 1], [0, 1, 1])
Basis 147: ([1, 1, 1], [0, 0, 1], [1, 0, 0])
Basis 148: ([1, 1, 1], [0, 0, 1], [1, 0, 1])
Basis 149: ([1, 1, 1], [0, 1, 0], [0, 0, 1])
Basis 150: ([1, 1, 1], [0, 1, 0], [0, 1, 1])
Basis 151: ([1, 1, 1], [0, 1, 0], [1, 0, 0])
Basis 152: ([1, 1, 1], [0, 1, 0], [1, 1, 0])
Basis 153: ([1, 1, 1], [0, 1, 1], [0, 0, 1])
Basis 154: ([1, 1, 1], [0, 1, 1], [0, 1, 0])
Basis 155: ([1, 1, 1], [0, 1, 1], [1, 0, 1])
Basis 156: ([1, 1, 1], [0, 1, 1], [1, 1, 0])
Basis 157: ([1, 1, 1], [1, 0, 0], [0, 0, 1])
Basis 158: ([1, 1, 1], [1, 0, 0], [0, 1, 0])
Basis 159: ([1, 1, 1], [1, 0, 0], [1, 0, 1])
Basis 160: ([1, 1, 1], [1, 0, 0], [1, 1, 0])
Basis 161: ([1, 1, 1], [1, 0, 1], [0, 0, 1])
Basis 162: ([1, 1, 1], [1, 0, 1], [0, 1, 1])
Basis 163: ([1, 1, 1], [1, 0, 1], [1, 0, 0])
Basis 164: ([1, 1, 1], [1, 0, 1], [1, 1, 0])
Basis 165: ([1, 1, 1], [1, 1, 0], [0, 1, 0])
Basis 166: ([1, 1, 1], [1, 1, 0], [0, 1, 1])
Basis 167: ([1, 1, 1], [1, 1, 0], [1, 0, 0])
Basis 168: ([1, 1, 1], [1, 1, 0], [1, 0, 1])
