Number of bases of the vector space Z^n over Z_2 is 20160.
Basis 57: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 0, 1, 1], [0, 1, 0, 0])
Basis 58: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 0, 1, 1], [0, 1, 0, 1])
Basis 59: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 0, 1, 1], [0, 1, 1, 0])
Basis 60: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 0, 1, 1], [0, 1, 1, 1])
Basis 61: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 0, 1, 1], [1, 1, 0, 0])
Basis 62: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 0, 1, 1], [1, 1, 0, 1])
Basis 63: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 0, 1, 1], [1, 1, 1, 0])
Basis 64: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 0, 1, 1], [1, 1, 1, 1])
Basis 65: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 0], [0, 1, 0, 0])
Basis 66: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 0], [0, 1, 0, 1])
Basis 67: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 0], [0, 1, 1, 0])
Basis 68: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 0], [0, 1, 1, 1])
Basis 69: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 0], [1, 0, 0, 0])
Basis 70: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 0], [1, 0, 0, 1])
Basis 71: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 0], [1, 0, 1, 0])
Basis 72: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 0], [1, 0, 1, 1])
Basis 73: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 1], [0, 1, 0, 0])
Basis 74: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 1], [0, 1, 0, 1])
Basis 75: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 1], [0, 1, 1, 0])
Basis 76: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 1], [0, 1, 1, 1])
Basis 77: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 1], [1, 0, 0, 0])
Basis 78: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 1], [1, 0, 0, 1])
Basis 79: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 1], [1, 0, 1, 0])
Basis 80: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 0, 1], [1, 0, 1, 1])
Basis 81: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 0], [0, 1, 0, 0])
Basis 82: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 0], [0, 1, 0, 1])
Basis 83: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 0], [0, 1, 1, 0])
Basis 84: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 0], [0, 1, 1, 1])
Basis 85: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 0], [1, 0, 0, 0])
Basis 86: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 0], [1, 0, 0, 1])
Basis 87: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 0], [1, 0, 1, 0])
Basis 88: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 0], [1, 0, 1, 1])
Basis 89: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 1], [0, 1, 0, 0])
Basis 90: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 1], [0, 1, 0, 1])
Basis 91: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 1], [0, 1, 1, 0])
Basis 92: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 1], [0, 1, 1, 1])
Basis 93: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 1], [1, 0, 0, 0])
Basis 94: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 1], [1, 0, 0, 1])
Basis 95: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 1], [1, 0, 1, 0])
Basis 96: ([0, 0, 0, 1], [0, 0, 1, 0], [1, 1, 1, 1], [1, 0, 1, 1])
Basis 97: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 0], [1, 0, 0, 0])
Basis 98: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 0], [1, 0, 0, 1])
Basis 99: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 0], [1, 0, 1, 0])
Basis 100: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 0], [1, 0, 1, 1])
Basis 101: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 0], [1, 1, 0, 0])
Basis 102: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 0], [1, 1, 0, 1])
Basis 103: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 0], [1, 1, 1, 0])
Basis 104: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 0], [1, 1, 1, 1])
Basis 105: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 1], [1, 0, 0, 0])
Basis 106: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 1], [1, 0, 0, 1])
Basis 107: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 1], [1, 0, 1, 0])
Basis 108: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 1], [1, 0, 1, 1])
Basis 109: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 1], [1, 1, 0, 0])
Basis 110: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 1], [1, 1, 0, 1])
Basis 111: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 1], [1, 1, 1, 0])
Basis 112: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 0, 1], [1, 1, 1, 1])
Basis 113: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 0], [1, 0, 0, 0])
Basis 114: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 0], [1, 0, 0, 1])
Basis 115: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 0], [1, 0, 1, 0])
Basis 116: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 0], [1, 0, 1, 1])
Basis 117: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 0], [1, 1, 0, 0])
Basis 118: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 0], [1, 1, 0, 1])
Basis 119: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 0], [1, 1, 1, 0])
Basis 120: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 0], [1, 1, 1, 1])
Basis 121: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 1], [1, 0, 0, 0])
Basis 122: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 1], [1, 0, 0, 1])
Basis 123: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 1], [1, 0, 1, 0])
Basis 124: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 1], [1, 0, 1, 1])
Basis 125: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 1], [1, 1, 0, 0])
Basis 126: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 1], [1, 1, 0, 1])
Basis 127: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 1], [1, 1, 1, 0])
Basis 128: ([0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1, 1], [1, 1, 1, 1])
Basis 129: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 0], [0, 1, 0, 0])
Basis 130: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 0], [0, 1, 0, 1])
Basis 131: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 0], [0, 1, 1, 0])
Basis 132: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 0], [0, 1, 1, 1])
Basis 133: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 0], [1, 1, 0, 0])
Basis 134: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 0], [1, 1, 0, 1])
Basis 135: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 0], [1, 1, 1, 0])
Basis 136: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 0], [1, 1, 1, 1])
Basis 137: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 1], [0, 1, 0, 0])
Basis 138: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 1], [0, 1, 0, 1])
Basis 139: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 1], [0, 1, 1, 0])
Basis 140: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 1], [0, 1, 1, 1])
Basis 141: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 1], [1, 1, 0, 0])
Basis 142: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 1], [1, 1, 0, 1])
Basis 143: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 1], [1, 1, 1, 0])
Basis 144: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 0, 1], [1, 1, 1, 1])
Basis 145: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 0], [0, 1, 0, 0])
Basis 146: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 0], [0, 1, 0, 1])
Basis 147: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 0], [0, 1, 1, 0])
Basis 148: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 0], [0, 1, 1, 1])
Basis 149: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 0], [1, 1, 0, 0])
Basis 150: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 0], [1, 1, 0, 1])
Basis 151: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 0], [1, 1, 1, 0])
Basis 152: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 0], [1, 1, 1, 1])
Basis 153: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 1], [0, 1, 0, 0])
Basis 154: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 1], [0, 1, 0, 1])
Basis 155: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 1], [0, 1, 1, 0])
Basis 156: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 1], [0, 1, 1, 1])
Basis 157: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 1], [1, 1, 0, 0])
Basis 158: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 1], [1, 1, 0, 1])
Basis 159: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 1], [1, 1, 1, 0])
Basis 160: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 0, 1, 1], [1, 1, 1, 1])
Basis 161: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 0], [0, 1, 0, 0])
Basis 162: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 0], [0, 1, 0, 1])
Basis 163: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 0], [0, 1, 1, 0])
Basis 164: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 0], [0, 1, 1, 1])
Basis 165: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 0, 0, 0])
Basis 166: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 0, 0, 1])
Basis 167: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 0, 1, 0])
Basis 168: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 0, 1, 1])
Basis 169: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 1], [0, 1, 0, 0])
Basis 170: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 1], [0, 1, 0, 1])
Basis 171: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 1], [0, 1, 1, 0])
Basis 172: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 1], [0, 1, 1, 1])
Basis 173: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 0, 0, 0])
Basis 174: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 0, 0, 1])
Basis 175: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 0, 1, 0])
Basis 176: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 0, 1, 1])
Basis 177: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 0], [0, 1, 0, 0])
Basis 178: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 0], [0, 1, 0, 1])
Basis 179: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 0], [0, 1, 1, 0])
Basis 180: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 0], [0, 1, 1, 1])
Basis 181: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 0], [1, 0, 0, 0])
Basis 182: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 0], [1, 0, 0, 1])
Basis 183: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 0], [1, 0, 1, 0])
Basis 184: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 0], [1, 0, 1, 1])
Basis 185: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 1], [0, 1, 0, 0])
Basis 186: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 1], [0, 1, 0, 1])
Basis 187: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 1], [0, 1, 1, 0])
Basis 188: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 1], [0, 1, 1, 1])
Basis 189: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 1], [1, 0, 0, 0])
Basis 190: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 1], [1, 0, 0, 1])
Basis 191: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 1], [1, 0, 1, 0])
Basis 192: ([0, 0, 0, 1], [0, 0, 1, 1], [1, 1, 1, 1], [1, 0, 1, 1])
Basis 193: ([0, 0, 0, 1], [0, 1, 0, 0], [0, 0, 1, 0], [1, 0, 0, 0])
Basis 194: ([0, 0, 0, 1], [0, 1, 0, 0], [0, 0, 1, 0], [1, 0, 0, 1])
Basis 195: ([0, 0, 0, 1], [0, 1, 0, 0], [0, 0, 1, 0], [1, 0, 1, 0])
Basis 196: ([0, 0, 0, 1], [0, 1, 0, 0], [0, 0, 1, 0], [1, 0, 1, 1])
Basis 197: ([0, 0, 0, 1], [0, 1, 0, 0], [0, 0, 1, 0], [1, 1, 0, 0])
